source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,at_who,words,tweet_len,tweet_no_words,capital_words,has_endors,score_neg,score_neu,score_pos,score_compound
Twitter for iPhone, Even the Radical Left Do Nothing Democrats laughed at the Fox suggestion No respect for the people running But Fox keeps on plugging to try and become politically correct They put RINO Paul Ryan on their Board They hire debate questions to Crooked Hillary ,2020-04-26 21:21:02,13730.0,56260,False,1.2545208909912187e+18,['@FoxNews.'],"['Even', 'the', 'Radical', 'Left', 'Do', 'Nothing', 'Democrats', 'laughed', 'at', 'the', 'Fox', 'suggestion', 'No', 'respect', 'for', 'the', 'people', 'running', 'But', 'Fox', 'keeps', 'on', 'plugging', 'to', 'try', 'and', 'become', 'politically', 'correct', 'They', 'put', 'RINO', 'Paul', 'Ryan', 'on', 'their', 'Board', 'They', 'hire', 'debate', 'questions', 'to', 'Crooked', 'Hillary']",257,44,RINO,0,0.077,0.923,0.0,-0.3647
Twitter for iPhone,Bernie Sanders is OUT Thank you to Elizabeth Warren If not for her Bernie would have won almost every state on Super Tuesday This ended just like the Democrats amp the DNC wanted same as the Crooked Hillary fiasco The Bernie people should come to the Republican Party TRADE ,2020-04-08 15:49:28,57860.0,288576,False,1.2479144643195044e+18,[],"['Bernie', 'Sanders', 'is', 'OUT', 'Thank', 'you', 'to', 'Elizabeth', 'Warren', 'If', 'not', 'for', 'her', 'Bernie', 'would', 'have', 'won', 'almost', 'every', 'state', 'on', 'Super', 'Tuesday', 'This', 'ended', 'just', 'like', 'the', 'Democrats', 'amp', 'the', 'DNC', 'wanted', 'same', 'as', 'the', 'Crooked', 'Hillary', 'fiasco', 'The', 'Bernie', 'people', 'should', 'come', 'to', 'the', 'Republican', 'Party', 'TRADE']",274,49,OUT,0,0.054,0.698,0.248,0.9001
Twitter for iPhone,Are any Democrat operatives the DNC or Crooked Hillary Clinton blaming Russia Russia Russia for the Bernie Sanders win in Nevada If so I suggest calling Bob Mueller amp the Angry Democrats to do a new Mueller Report Democrat Edition Bob will get to the bottom of it ,2020-02-23 18:45:26,28205.0,111474,False,1.2316512940429722e+18,[],"['Are', 'any', 'Democrat', 'operatives', 'the', 'DNC', 'or', 'Crooked', 'Hillary', 'Clinton', 'blaming', 'Russia', 'Russia', 'Russia', 'for', 'the', 'Bernie', 'Sanders', 'win', 'in', 'Nevada', 'If', 'so', 'I', 'suggest', 'calling', 'Bob', 'Mueller', 'amp', 'the', 'Angry', 'Democrats', 'to', 'do', 'a', 'new', 'Mueller', 'Report', 'Democrat', 'Edition', 'Bob', 'will', 'get', 'to', 'the', 'bottom', 'of', 'it']",266,48,DNC,0,0.118,0.814,0.069,-0.4019
Twitter for iPhone, They say Roger Stone lied to Congress OH I see but so did Comey and he also leaked classified information for which almost everyone other than Crooked Hillary Clinton goes to jail for a long time and so did Andy McCabe who also lied to the FBI FAIRNESS ,2020-02-20 15:22:15,33184.0,114805,False,1.2305130010540974e+18,['@CNN'],"['They', 'say', 'Roger', 'Stone', 'lied', 'to', 'Congress', 'OH', 'I', 'see', 'but', 'so', 'did', 'Comey', 'and', 'he', 'also', 'leaked', 'classified', 'information', 'for', 'which', 'almost', 'everyone', 'other', 'than', 'Crooked', 'Hillary', 'Clinton', 'goes', 'to', 'jail', 'for', 'a', 'long', 'time', 'and', 'so', 'did', 'Andy', 'McCabe', 'who', 'also', 'lied', 'to', 'the', 'FBI', 'FAIRNESS']",254,48,OH,0,0.153,0.847,0.0,-0.7992
Twitter for iPhone,Whatever happened to Hillary campaign manager Podestas BROTHER Wasnt he caught forced to leave his firm with BIG BAD things to happen Why did nothing ever happen to him only to the other side ,2020-02-12 02:09:26,33620.0,114823,False,1.227414377889968e+18,[],"['Whatever', 'happened', 'to', 'Hillary', 'campaign', 'manager', 'Podestas', 'BROTHER', 'Wasnt', 'he', 'caught', 'forced', 'to', 'leave', 'his', 'firm', 'with', 'BIG', 'BAD', 'things', 'to', 'happen', 'Why', 'did', 'nothing', 'ever', 'happen', 'to', 'him', 'only', 'to', 'the', 'other', 'side']",192,34,BROTHER,0,0.14,0.797,0.064,-0.4503
Twitter for iPhone,Is this the Judge that put Paul Manafort in SOLITARY CONFINEMENT something that not even mobster Al Capone had to endure How did she treat Crooked Hillary Clinton Just asking ,2020-02-12 01:47:10,23508.0,67793,False,1.2274087758559764e+18,[],"['Is', 'this', 'the', 'Judge', 'that', 'put', 'Paul', 'Manafort', 'in', 'SOLITARY', 'CONFINEMENT', 'something', 'that', 'not', 'even', 'mobster', 'Al', 'Capone', 'had', 'to', 'endure', 'How', 'did', 'she', 'treat', 'Crooked', 'Hillary', 'Clinton', 'Just', 'asking']",175,30,SOLITARY,0,0.0,0.915,0.085,0.4019
Twitter for iPhone, I like President Trumps Tweets Social Media I like everything about him and this Ukraine stuff the trial the impeachment this isnt t about Ukraine Donald Trump has committed the two unpardonable sins in the eyes of the Democrats He beat Hillary Clinton in and ,2020-01-25 14:19:35,20476.0,94477,False,1.2210751424046449e+18,[],"['I', 'like', 'President', 'Trumps', 'Tweets', 'Social', 'Media', 'I', 'like', 'everything', 'about', 'him', 'and', 'this', 'Ukraine', 'stuff', 'the', 'trial', 'the', 'impeachment', 'this', 'isnt', 't', 'about', 'Ukraine', 'Donald', 'Trump', 'has', 'committed', 'the', 'two', 'unpardonable', 'sins', 'in', 'the', 'eyes', 'of', 'the', 'Democrats', 'He', 'beat', 'Hillary', 'Clinton', 'in', 'and']",261,45,I,0,0.059,0.802,0.139,0.4767
Twitter for iPhone,So if Comey amp the top people in the FBI were dirty cops and cheated on the FISA Court wouldnt all of these phony cases have to be overturned or dismissed They went after me with the Fake Dossier paid for by Crooked Hillary amp the DNC which they illegally presented to FISA ,2019-12-18 04:10:40,24858.0,89161,False,1.2071511658944717e+18,[],"['So', 'if', 'Comey', 'amp', 'the', 'top', 'people', 'in', 'the', 'FBI', 'were', 'dirty', 'cops', 'and', 'cheated', 'on', 'the', 'FISA', 'Court', 'wouldnt', 'all', 'of', 'these', 'phony', 'cases', 'have', 'to', 'be', 'overturned', 'or', 'dismissed', 'They', 'went', 'after', 'me', 'with', 'the', 'Fake', 'Dossier', 'paid', 'for', 'by', 'Crooked', 'Hillary', 'amp', 'the', 'DNC', 'which', 'they', 'illegally', 'presented', 'to', 'FISA']",276,53,FBI,0,0.155,0.815,0.03,-0.8176
Twitter for iPhone,RT A great new book by Howie Carr What Really Happened How Donald J Trump Saved America From Hillary Clinton is on ,2019-11-02 22:28:27,22193.0,0,False,1.1907575914687242e+18,['@realDonaldTrump:'],"['RT', 'A', 'great', 'new', 'book', 'by', 'Howie', 'Carr', 'What', 'Really', 'Happened', 'How', 'Donald', 'J', 'Trump', 'Saved', 'America', 'From', 'Hillary', 'Clinton', 'is', 'on']",115,22,RT,0,0.0,0.743,0.257,0.7845
Twitter for iPhone,A great new book by Howie Carr What Really Happened How Donald J Trump Saved America From Hillary Clinton is on sale now Howie is a talented New England force who was there at the very beginning ,2019-11-02 16:26:02,22284.0,96310,False,1.1906663854180805e+18,[],"['A', 'great', 'new', 'book', 'by', 'Howie', 'Carr', 'What', 'Really', 'Happened', 'How', 'Donald', 'J', 'Trump', 'Saved', 'America', 'From', 'Hillary', 'Clinton', 'is', 'on', 'sale', 'now', 'Howie', 'is', 'a', 'talented', 'New', 'England', 'force', 'who', 'was', 'there', 'at', 'the', 'very', 'beginning']",195,37,A,0,0.0,0.769,0.231,0.8807
